title,author,description,rating,genres,shelves,image_book,url
Eye of the Needle,Ken Follett,"One enemy spy knows the secret to the Allies' greatest deception, a brilliant aristocrat and ruthless assassin -- code name: ""The Needle"" -- who holds the key to ultimate Nazi victory.
Only one person stands in his way: a lonely Englishwoman on an isolated island, who is beginning to love the killer who has mysteriously entered her life.
All will come to a terrifying conclusion in Ken Follett's unsurpassed and unforgettable masterwork of suspense, intrigue, and the dangerous machinations of the human heart.",4.21,"['Fiction', 'Historical Fiction', 'Thriller', 'Mystery', 'Espionage', 'War', 'Suspense']","['to-read', 'currently-reading', 'fiction', 'historical-fiction', 'thriller', 'mystery', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327939511i/92364.jpg,https://www.goodreads.com/book/show/92364.Eye_of_the_Needle
Defy Me,Tahereh Mafi,"The gripping fifth installment in the New York Times, USA Today, and Publishers Weekly bestselling Shatter Me series. Will Juliette’s broken heart make her vulnerable to the strengthening darkness within her?

Juliette’s short tenure as the supreme commander of North America has been an utter disaster. When the children of the other world leaders show up on her doorstep, she wants nothing more than to turn to Warner for support and guidance. But he shatters her heart when he reveals that he’s been keeping secrets about her family and her identity from her—secrets that change everything.

Juliette is devastated, and the darkness that’s always dwelled within her threatens to consume her. An explosive encounter with unexpected visitors might be enough to push her over the edge.
Show more",4.27,"['Fantasy', 'Dystopia', 'Romance', 'Young Adult', 'Science Fiction', 'Fiction', 'Romantasy']","['to-read', 'currently-reading', 'physical-tbr', 'fantasy', 'dystopian', 'favorites', 'tbr']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1548349704i/34992959.jpg,https://www.goodreads.com/book/show/34992959-defy-me
"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone",Sophocles,"English versions of Sophocles’ three great tragedies based on the myth of Oedipus, translated for a modern audience by two gifted poets.",3.99,"['Plays', 'Fiction', 'Mythology', 'School', 'Literature', 'Classics', 'Poetry']","['to-read', 'currently-reading', 'plays', 'fiction', 'owned', 'own', 'mythology']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628467638i/1540.jpg,https://www.goodreads.com/book/show/1540.The_Oedipus_Cycle
The House Witch,Delemhach,"A heartwarming and humorous blend of fantasy, romance, and mystery featuring a witch with domestic powers and the royal household he serves . . . dinner.

When Finlay Ashowan joins the staff of the King and Queen of Daxaria, he’s an enigma. No one knows where he comes from or how he came to be where he is, which suits Fin just fine. He’s satisfied simply serving as the royal cook, keeping nosy passersby out of his kitchen, and concocting some truly uncanny meals.

But Fin’s secret identity doesn’t stay hidden for long. After all, it’s not every day a house witch and his kitten familiar, Kraken, take to meddling in imperial affairs. As his powers are gradually discovered by the court, Fin finds himself involved in a slew of intrigues: going head-to-head with knights with less-than-chivalrous intentions, helping to protect the pregnant queen, fending off the ire of the royal mage, and uncovering a spy in the castle. And that’s only the beginning—because Fin’s past is catching up with him just as his love life is getting complicated . . .
Show more",4.15,"['Fantasy', 'Romance', 'Cozy Fantasy', 'Cozy', 'Witches', 'Fiction', 'Magic']","['to-read', 'currently-reading', 'fantasy', 'dnf', 'romance', 'cozy-fantasy', 'cozy']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655910108i/61337597.jpg,https://www.goodreads.com/book/show/61337597-the-house-witch
Medea,Euripides,"One of the most powerful and enduring of Greek tragedies, Medea centers on the myth of Jason, leader of the Argonauts, who has won the dragon-guarded treasure of the Golden Fleece with the help of the sorceress Medea. Having married Medea and fathered her two children, Jason abandons her for a more favorable match, never suspecting the terrible revenge she will take.

Euripides' masterly portrayal of the motives fiercely driving Medea's pursuit of vengeance for her husband's insult and betrayal has held theater audiences spellbound for more than twenty centuries. Rex Warner's authoritative translation brings this great classic of world literature vividly to life.

Reprint of the John Lane, The Bodley Head Limited, London, 1944 edition.
Show more",3.95,"['Classics', 'Plays', 'Mythology', 'Fiction', 'School', 'Literature', 'Greek Mythology']","['to-read', 'classics', 'plays', 'currently-reading', 'favorites', 'mythology', 'fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328868366i/752900.jpg,https://www.goodreads.com/book/show/752900.Medea
The Vampire Armand,Anne Rice,"In the latest installment of The Vampire Chronicles, Anne Rice summons up dazzling worlds to bring us the story of Armand - eternally young, with the face of a Botticelli angel. Armand, who first appeared in all his dark glory more than twenty years ago in the now-classic Interview with the Vampire, the first of The Vampire Chronicles, the novel that established its author worldwide as a magnificent storyteller and creator of magical realms.

Now, we go with Armand across the centuries to the Kiev Rus of his boyhood - a ruined city under Mongol dominion - and to ancient Constantinople, where Tartar raiders sell him into slavery. And in a magnificent palazzo in the Venice of the Renaissance we see him emotionally and intellectually in thrall to the great vampire Marius, who masquerades among humankind as a mysterious, reclusive painter and who will bestow upon Armand the gift of vampiric blood. As the novel races to its climax, moving through scenes of luxury and elegance, of ambush, fire, and devil worship to nineteenth-century Paris and today's New Orleans, we see its eternally vulnerable and romantic hero forced to choose between his twilight immortality and the salvation of his immortal soul.
Show more",3.80,"['Horror', 'Vampires', 'Fantasy', 'Fiction', 'Paranormal', 'Supernatural', 'Urban Fantasy']","['to-read', 'horror', 'vampires', 'fantasy', 'currently-reading', 'fiction', 'anne-rice']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388355184i/31332.jpg,https://www.goodreads.com/book/show/31332.The_Vampire_Armand
Red Storm Rising,Tom Clancy,"Estados Unidos y la Unión Soviética se enfrentan en un conflicto que adquiere dimensiones espezlunantes. Cuatro fundamentalistas vuelan un complejo petrolífero vital en la URSS, y hacen que una ya crítica escasez de combustible resulte catastrófica. Entonces los rusos deciden que ya no les queda otra salida que apoderarse a cualquier precio del petróleo del golfo Pérsico...",4.21,"['Fiction', 'Thriller', 'Military Fiction', 'War', 'Action', 'Espionage', 'Historical Fiction']","['to-read', 'currently-reading', 'fiction', 'thriller', 'tom-clancy', 'owned', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1173729031i/318525.jpg,https://www.goodreads.com/book/show/318525.Red_Storm_Rising
The Power of Six,Pittacus Lore,"I've seen him on the news. Followed the stories about what happened in Ohio. John Smith, out there, on the run. To the world, he's a mystery. But to me . . . he's one of us.

Nine of us came here, but sometimes I wonder if time has changed us—if we all still believe in our mission. How can I know? There are six of us left. We're hiding, blending in, avoiding contact with one another . . . but our Legacies are developing, and soon we'll be equipped to fight. Is John Number Four, and is his appearance the sign I've been waiting for? And what about Number Five and Six? Could one of them be the raven-haired girl with the stormy eyes from my dreams. The girl with powers that are beyond anything I could ever imagine. The girl who may be strong enough to bring the six of us together?

They caught Number One in Malaysia.
Number Two in England.
And Number Three in Kenya.
They tried to catch Number Four in Ohio—and failed.

I am Number Seven. One of six still alive.

And I'm ready to fight.
Show more",4.14,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Aliens', 'Adventure', 'Paranormal']","['to-read', 'currently-reading', 'young-adult', 'fantasy', 'favorites', 'sci-fi', 'science-fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1345067406i/8659601.jpg,https://www.goodreads.com/book/show/8659601-the-power-of-six
Black Hawk Down: A Story of Modern War,Mark Bowden,"On October 3, 1993, about a hundred U.S. soldiers were dropped by helicopter into a teeming market in the heart of Mogadishu, Somalia, to abduct two top lieutenants of a Somali warlord. The action was supposed to take an hour. Instead, they spent a long and terrible night fighting thousands of armed Somalis. By morning, eighteen Americans were dead, and more than seventy badly injured. Mark Bowden's gripping narrative is one of the most exciting accounts of modern war ever written--a riveting story that captures the heroism, courage and brutality of battle.",4.30,"['History', 'Nonfiction', 'Military Fiction', 'War', 'Military History', 'Africa', 'Historical']","['to-read', 'currently-reading', 'history', 'non-fiction', 'military', 'war', 'nonfiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553055240i/55403.jpg,https://www.goodreads.com/book/show/55403.Black_Hawk_Down
Torn,Amanda Hocking,"When Wendy Everly first discovers the truth about herself—that she’s a changeling switched at birth—she knows her life will never be the same. Now she’s about to learn that there’s more to the story...

She shares a closer connection to her Vittra rivals than she ever imagined—and they’ll stop at nothing to lure her to their side. With the threat of war looming, her only hope of saving the Trylle is to master her magical powers—and marry an equally powerful royal. But that means walking away from Finn, her handsome bodyguard who’s strictly off limits... and Loki, a Vittra prince with whom she shares a growing attraction.

Torn between her heart and her people, between love and duty, Wendy must decide her fate. If she makes the wrong choice, she could lose everything, and everybody, she’s ever wanted... in both worlds.

As a special gift to readers, this book contains a new, never-before-published bonus story, “One Day, Three Ways,” set in the magical world of the Trylle.
Show more",4.03,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Fiction', 'Paranormal Romance', 'Magic']","['to-read', 'fantasy', 'young-adult', 'currently-reading', 'favorites', 'own', 'books-i-own']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397954544i/11966216.jpg,https://www.goodreads.com/book/show/11966216-torn
