title,author,description,rating,genres,shelves,image_book,url
The Gargoyle,Andrew Davidson,"A young man is fighting for his life. Into his room walks a bewitching woman who believes she can save him. Their journey will have you believing in the impossible. The nameless and beautiful narrator of The Gargoyle is driving along a dark road when he is distracted by what seems to be a flight of arrows. He crashes into a ravine and wakes up in a burns ward, undergoing the tortures of the damned. His life is over - he is now a monster. But in fact it is only just beginning. One day, Marianne Engel, a wild and compelling sculptress of gargoyles, enters his life and tells him that they were once lovers in medieval Germany. In her telling, he was a badly burned mercenary and she was a nun and a scribe who nursed him back to health in the famed monastery of Engelthal. As she spins her tale, Scheherazade fashion, and relates equally mesmerising stories of deathless love in Japan, Greenland, Italy and England, he finds himself drawn back to life - and, finally, to love.
Show more",3.97,"['Fiction', 'Fantasy', 'Historical Fiction', 'Romance', 'Book Club', 'Historical', 'Gothic']","['to-read', 'currently-reading', 'fiction', 'favorites', 'fantasy', 'historical-fiction', 'romance']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1368598513i/2595138.jpg,https://www.goodreads.com/book/show/2595138-the-gargoyle
Guilty Pleasures,Laurell K. Hamilton,"Anita Blake is small, dark, and dangerous. Her turf is the city of St. Louis. Her job: re-animating the dead and killing the undead who take things too far. But when the city’s most powerful vampire asks her to solve a series of vicious slayings, Anita must confront her greatest fear—her undeniable attraction to master vampire Jean-Claude, one of the creatures she is sworn to destroy...",4.02,"['Urban Fantasy', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Horror', 'Fiction']","['to-read', 'currently-reading', 'urban-fantasy', 'fantasy', 'vampires', 'paranormal', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388207930i/30281.jpg,https://www.goodreads.com/book/show/30281.Guilty_Pleasures
The Brief Wondrous Life of Oscar Wao,Junot Díaz,"Things have never been easy for Oscar, a sweet but disastrously overweight, lovesick Dominican ghetto nerd. From his home in New Jersey, where he lives with his old-world mother and rebellious sister, Oscar dreams of becoming the Dominican J. R. R. Tolkien and, most of all, of finding love. But he may never get what he wants, thanks to the Fukœ—the curse that has haunted the Oscar's family for generations, dooming them to prison, torture, tragic accidents, and, above all, ill-starred love. Oscar, still waiting for his first kiss, is just its most recent victim.

Diaz immerses us in the tumultuous life of Oscar and the history of the family at large, rendering with genuine warmth and dazzling energy, humor, and insight the Dominican-American experience, and, ultimately, the endless human capacity to persevere in the face of heartbreak and loss. A true literary triumph, confirms Junot Diaz as one of the best and most exciting voices of our time.
Show more",3.89,"['Fiction', 'Book Club', 'Contemporary', 'Magical Realism', 'Literary Fiction', 'Historical Fiction', 'Novels']","['to-read', 'currently-reading', 'fiction', 'favorites', 'book-club', 'pulitzer', 'own']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391409748i/297673.jpg,https://www.goodreads.com/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao
The Sparrow,Mary Doria Russell,"In 2019, humanity finally finds proof of extraterrestrial life when a listening post in Puerto Rico picks up exquisite singing from a planet that will come to be known as Rakhat. While United Nations diplomats endlessly debate a possible first contact mission, the Society of Jesus quietly organizes an eight-person scientific expedition of its own. What the Jesuits find is a world so beyond comprehension that it will lead them to question what it means to be ""human"".",4.14,"['Science Fiction', 'Fiction', 'Book Club', 'Fantasy', 'Science Fiction Fantasy', 'Speculative Fiction', 'Aliens']","['to-read', 'currently-reading', 'science-fiction', 'sci-fi', 'fiction', 'favorites', 'scifi']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1230829367i/334176.jpg,https://www.goodreads.com/book/show/334176.The_Sparrow
Gabriel's Inferno,Sylvain Reynard,"Enigmatic and sexy, Professor Gabriel Emerson is a well respected Dante specialist by day, but by night he devotes himself to an uninhibited life of pleasure. He uses his notorious good looks and sophisticated charm to gratify his every whim, but is secretly tortured by his dark past and consumed by the profound belief that he is beyond all hope of redemption.

When the sweet and innocent Julia Mitchell enrolls as his graduate student, his attraction and mysterious connection to her not only jeopardizes his career, but sends him on a journey in which his past and his present collide.

An intriguing and sinful exploration of seduction, forbidden love and redemption, ""Gabriel's Inferno"" is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible...forgiveness and love.
Show more",3.98,"['Romance', 'Contemporary Romance', 'Contemporary', 'Erotica', 'Adult', 'New Adult', 'Fiction']","['to-read', 'currently-reading', 'romance', 'favorites', 'contemporary-romance', 'dnf', 'contemporary']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1301789770i/10140661.jpg,https://www.goodreads.com/book/show/10140661-gabriel-s-inferno
The Pact,Jodi Picoult,"For eighteen years the Hartes and the Golds have lived next door to each other, sharing everything from Chinese food to chicken pox to carpool duty—they've grown so close it seems they have always been a part of each other's lives. Parents and children alike have been best friends, so it's no surprise that in high school Chris and Emily's friendship blossoms into something more. They've been soul mates since they were born.

So when midnight calls from the hospital come in, no one is ready for the appalling truth: Emily is dead at seventeen from a gunshot wound to the head. There's a single unspent bullet in the gun that Chris took from his father's cabinet—a bullet that Chris tells police he intended for himself. But a local detective has doubts about the suicide pact that Chris has described.
Show more",4.03,"['Fiction', 'Romance', 'Contemporary', 'Chick Lit', 'Drama', 'Mystery', 'Book Club']","['to-read', 'currently-reading', 'fiction', 'favorites', 'jodi-picoult', 'books-i-own', 'own']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1410754561i/10916.jpg,https://www.goodreads.com/book/show/10916.The_Pact
Crank,Ellen Hopkins,"In Crank, Ellen Hopkins chronicles the turbulent and often disturbing relationship between Kristina, a character based on her own daughter, and the ""monster,"" the highly addictive drug crystal meth, or ""crank."" Kristina is introduced to the drug while visiting her largely absent and ne'er-do-well father. While under the influence of the monster, Kristina discovers her sexy alter-ego, Bree: ""there is no perfect daughter, / no gifted high school junior, / no Kristina Georgia Snow. / There is only Bree."" Bree will do all the things good girl Kristina won't, including attracting the attention of dangerous boys who can provide her with a steady flow of crank.",4.16,"['Young Adult', 'Poetry', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Banned Books', 'Mental Health']","['to-read', 'currently-reading', 'young-adult', 'poetry', 'favorites', 'ya', 'fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388192181i/270730.jpg,https://www.goodreads.com/book/show/270730.Crank
We,Yevgeny Zamyatin,"The exhilarating dystopian novel that inspired George Orwell's 1984 and foreshadowed the worst excesses of Soviet Russia

Yevgeny Zamyatin's We is a powerfully inventive vision that has influenced writers from George Orwell to Ayn Rand. In a glass-enclosed city of absolute straight lines, ruled over by the all-powerful 'Benefactor', the citizens of the totalitarian society of OneState live out lives devoid of passion and creativity - until D-503, a mathematician who dreams in numbers, makes a discovery: he has an individual soul. Set in the twenty-sixth century AD, We is the classic dystopian novel and was the forerunner of works such as George Orwell's and Aldous Huxley's . It was suppressed for many years in Russia and remains a resounding cry for individual freedom, yet is also a powerful, exciting and vivid work of science fiction. Clarence Brown's brilliant translation is based on the corrected text of the novel, first published in Russia in 1988 after more than sixty years' suppression.
Show more",3.88,"['Fiction', 'Science Fiction', 'Classics', 'Dystopia', 'Russia', 'Russian Literature', 'Literature']","['to-read', 'currently-reading', 'fiction', 'science-fiction', 'classics', 'sci-fi', 'dystopia']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1627438181i/76171.jpg,https://www.goodreads.com/book/show/76171.We
A Million Little Pieces,James Frey,"Intense, unpredictable, and instantly engaging, this is a story of drug and alcohol abuse and rehabilitation as it has never been told before. It is also the introduction of a bold and talented literary voice.
Before considering reading this book, please see the BookBrowse note on the book jacket/review page.

BookBrowse Note: January 9th 2006: An article in the Smoking Gun claimed that James Frey (author of A Million Little Pieces and My Friend Leonard) fabricated key parts of his books. They cited police records, court documents and interviews with law enforcement agents which belie a number of Frey's claims regarding criminal charges against him, jail terms and his fugitive status.

In an interview with the Smoking Gun, Frey admitted that he had 'embellished central details' in A Million Little Pieces and backtracked on claims he made in the book.

January 26th 2006. Frey's publisher stated that while it initially stood by him, after further questioning of the author, the house has ""sadly come to the realization that a number of facts have been altered and incidents embellished."" It will be adding a a publisher's note and author's note to all future editions of A Million Little Pieces.
Show more",3.69,"['Fiction', 'Book Club', 'Contemporary', 'Psychology', 'Biography Memoir', 'Mental Health', 'Adult']","['to-read', 'currently-reading', 'fiction', 'favorites', 'memoir', 'non-fiction', 'own']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483206985i/1241.jpg,https://www.goodreads.com/book/show/1241.A_Million_Little_Pieces
Opal,Jennifer L. Armentrout,"No one is like Daemon Black.

When he set out to prove his feelings for me, he wasn’t fooling around. Doubting him isn’t something I’ll do again, and now that we’ve made it through the rough patches, well… There’s a lot of spontaneous combustion going on.

But even he can’t protect his family from the danger of trying to free those they love.

After everything, I’m no longer the same Katy. I’m different… And I’m not sure what that will mean in the end. When each step we take in discovering the truth puts us in the path of the secret organization responsible for torturing and testing hybrids, the more I realize there is no end to what I’m capable. The death of someone close still lingers, help comes from the most unlikely source, and friends will become the deadliest of enemies, but we won’t turn back. Even if the outcome will shatter our worlds forever.

Show more",4.24,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Aliens', 'Science Fiction', 'Paranormal Romance']","['to-read', 'currently-reading', 'favorites', 'young-adult', 'fantasy', 'romance', 'paranormal']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553011318i/13362536.jpg,https://www.goodreads.com/book/show/13362536-opal
A Connecticut Yankee in King Arthur's Court,Mark Twain,"One of the greatest satires in American literature, Mark Twain's 'A Connecticut Yankee in King Arthur's Court' begins when Hank Morgan, a skilled mechanic in a nineteenth-century New England arms factory, is struck on the head during a quarrel and awakens to find himself among the knights and magicians of King Arthur's Camelot. The 'Yankee' vows brashly to ""boss the whole country inside of three weeks"" and embarks on an ambitious plan to modernize Camelot with 19th c. industrial inventions like electricity and gunfire. It isn't long before all hell breaks loose!

Written in 1889, Mark 'A Connecticut Yankee in King Arthur's Court' is one of literature's first genre mash-ups and one of the first works to feature time travel. It is one of the best known Twain stories, and also one of his most unique. Twain uses the work to launch a social commentary on contemporary society, a thinly veiled critique of the contemporary times despite the Old World setting.

While the dark pessimism that would fully blossom in Twain's later works can be discerned in 'A Connecticut Yankee in King Arthur's Court, ' the novel will nevertheless be remembered primarily for its wild leaps of imagination, brilliant wit, and entertaining storytelling.
Show more",3.77,"['Classics', 'Fiction', 'Fantasy', 'Historical Fiction', 'Humor', 'Time Travel', 'Literature']","['to-read', 'currently-reading', 'classics', 'fiction', 'fantasy', 'historical-fiction', 'classic']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348239402i/162898.jpg,https://www.goodreads.com/book/show/162898.A_Connecticut_Yankee_in_King_Arthur_s_Court
Burned,P.C. Cast,The next exciting instalment in the adventures of Zoey Redbird at the House of Night school for vampyres.,3.97,"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Supernatural']","['to-read', 'young-adult', 'vampires', 'currently-reading', 'fantasy', 'own', 'house-of-night']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327944437i/6917952.jpg,https://www.goodreads.com/book/show/6917952-burned
A Moveable Feast,Ernest Hemingway,"Hemingway's memories of his life as an unknown writer living in Paris in the twenties are deeply personal, warmly affectionate, and full of wit. Looking back not only at his own much younger self, but also at the other writers who shared Paris with him - James Joyce, Wyndham Lewis, Scott and Zelda Fitzgerald - he recalls the time when, poor, happy, and writing in cafes, he discovered his vocation. Written during the last years of Hemingway's life, his memoir is a lively and powerful reflection of his genius that scintillates with the romance of the city.",4.02,"['Classics', 'Nonfiction', 'Memoir', 'Biography', 'France', 'Travel', 'Literature']","['to-read', 'currently-reading', 'classics', 'favorites', 'non-fiction', 'memoir', 'fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427463201i/4631.jpg,https://www.goodreads.com/book/show/4631.A_Moveable_Feast
Dreamfever,Karen Marie Moning,"MacKayla Lane lies naked on the cold stone floor of a church, at the mercy of the erotic Fae master she once swore to kill. Far from home, unable to control her sexual hungers, MacKayla is now fully under the Lord Master’s spell.…In New York Times bestselling author Karen Marie Moning’s stunning new novel, the walls between human and Fae worlds have come crashing down. And as Mac fights for survival on Dublin’s battle-scarred streets, she will embark on the darkest—and most erotically charged—adventure of her life.

He has stolen her past, but MacKayla will never allow her sister’s murderer to take her future. Yet even the uniquely gifted sidhe-seer is no match for the Lord Master, who has unleashed an insatiable sexual craving that consumes Mac’s every thought—and thrusts her into the seductive realm of two very dangerous men, both of whom she desires but dares not trust.

As the enigmatic Jericho Barrons and the sensual Fae prince V’lane vie for her body and soul, as cryptic entries from her sister’s diary mysteriously appear and the power of the Dark Book weaves its annihilating path through the city, Mac’s greatest enemy delivers a final challenge.…

It’s an invitation Mac cannot refuse, one that sends her racing home to Georgia, where an even darker threat awaits. With her parents missing and the lives of her loved ones under siege, Mac is about to come face-to-face with a soul-shattering truth—about herself and her sister, about Jericho Barrons…and about the world she thought she knew.
Show more",4.37,"['Fantasy', 'Urban Fantasy', 'Paranormal', 'Romance', 'Fae', 'Paranormal Romance', 'Adult']","['to-read', 'currently-reading', 'favorites', 'fantasy', 'urban-fantasy', 'paranormal', 'romance']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1429621657i/6050298.jpg,https://www.goodreads.com/book/show/6050298-dreamfever
Beach Read,Emily Henry,"A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.

Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast.

They’re polar opposites.

In fact, the only thing they have in common is that for the next three months, they’re living in neighboring beach houses, broke, and bogged down with writer’s block.

Until, one hazy evening, one thing leads to another and they strike a deal designed to force them out of their creative ruts: Augustus will spend the summer writing something happy, and January will pen the next Great American Novel. She’ll take him on field trips worthy of any rom-com montage, and he’ll take her to interview surviving members of a backwoods death cult (obviously). Everyone will finish a book and no-one will fall in love. Really.
Show more",3.98,"['Fiction', 'Contemporary', 'Audiobook', 'Contemporary Romance', 'Adult', 'Summer', 'Chick Lit']","['currently-reading', 'to-read', 'favorites', '2022', '2023', '2024', 'physical-tbr']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1589881197i/52867387.jpg,https://www.goodreads.com/book/show/52867387-beach-read
The Runaway Jury,John Grisham,"Every jury has a leader, and the verdict belongs to him. In Biloxi, Mississippi, a landmark tobacco trial with hundreds of millions of dollars at stake begins routinely, then swerves mysteriously off course.

The jury is behaving strangely, and at least one juror is convinced he's being watched. Soon they have to be sequestered. Then a tip from an anonymous young woman suggests she is able to predict the jurors' increasingly odd behavior.

Is the jury somehow being manipulated, or even controlled? If so, by whom? And, more importantly, why?

Show more",4.03,"['Fiction', 'Thriller', 'Mystery', 'Crime', 'Legal Thriller', 'Suspense', 'Mystery Thriller']","['to-read', 'currently-reading', 'fiction', 'john-grisham', 'thriller', 'mystery', 'own']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388444668i/24192.jpg,https://www.goodreads.com/book/show/24192.The_Runaway_Jury
Naked Lunch: The Restored Text,William S. Burroughs,"Naked Lunch is one of the most important novels of the twentieth century, a book that redefined not just literature but American culture. An unnerving tale of a narcotics addict unmoored in New York, Tangier, and ultimately a nightmarish wasteland known as Interzone, its formal innovation, taboo subject matter, and tour de force execution have exerted a significant influence on authors like Thomas Pynchon, J. G. Ballard, and William Gibson; on the relationship of art and obscenity; and on the shape of music, film, and media generally. Naked Lunch: The Restored Text includes many editorial corrections to errors present in previous editions, and incorporates Burroughs’s notes on the text, several essays he wrote over the years about the book, and an appendix of 20 percent new material and alternate drafts from the original manuscript, which predates the first published version. For the Burroughs enthusiast and the neophyte, this volume is a valuable and fresh experience of this classic of our culture.
Show more",3.46,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Banned Books', 'Science Fiction']","['to-read', 'currently-reading', 'fiction', 'classics', 'owned', 'own', 'literature']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1746119646i/7437.jpg,https://www.goodreads.com/book/show/7437.Naked_Lunch
Victor's Blessing,Barbara Sontheimer,"Victor Gant, a 6'5"" half-Osage blacksmith is an unusual hero for a Civil War love story. But Victor, well liked and respected, is anything but usual. Born into poverty and burdened by his father's past abuses, he betters himself with his intellect and inventions. Despite no formal education he boasts a close friendship with the wealthy banker Ethan. When the town's shy beauty agrees to marry him, Victor's life is truly blessed. But blessings like life itself can be fleeting, and when the Civil war erupts Victor will have to make choices, until finally he is forced to bestow an agonizing blessing of his own.
Meticulously researched for everyday life (rather than battles), Victor's Blessing takes the reader on a journey from quaint Ste. Genevieve Missouri, the patent halls of Washington D.C., the battle of Wilderness, till finally the infamous Andersonville prison. With a bevy of rich male and female characters, that experience the turbulent decade before and after the Civil War, Victor's Blessing is a haunting love story, that seems to whisper the eternal question, is death really the end?
Show more",4.34,"['Book Club', 'Novels', 'Fiction', 'Historical', 'Historical Fiction', 'Drama', 'Contemporary']","['to-read', 'book-club', 'own', 're-read', 'i-own', 'my-library', 'my-books']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1667204880i/63140926.jpg,https://www.goodreads.com/book/show/63140926-victor-s-blessing
Onyx,Jennifer L. Armentrout,"BEING CONNECTED TO DAEMON BLACK SUCKS…

Thanks to his alien mojo, Daemon’s determined to prove what he feels for me is more than a product of our bizarro connection. So I’ve sworn him off, even though he’s running more hot than cold these days. But we’ve got bigger problems.

SOMETHING WORSE THAN ARUM HAS COME TO TOWN

The Department of Defense is here. If they ever find out what Daemon can do and that we’re linked, I’m a goner. So is he. And there’s this new boy in school who’s got a secret of his own. He knows what’s happened to me and he can help, but to do so, I have to lie to Daemon and stay away from him. Like that’s possible. Against all common sense, I’m falling for Daemon. Hard.



I’ve seen someone who shouldn’t be alive. And I have to tell Daemon, even though I know he’s never going to stop searching until he gets the truth. What happened to his brother? Who betrayed him? And what does the DOD want from them—from me?

Show more",4.23,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Aliens', 'Science Fiction', 'Paranormal Romance']","['to-read', 'favorites', 'currently-reading', 'young-adult', 'fantasy', 'romance', 'paranormal']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329408511i/13047090.jpg,https://www.goodreads.com/book/show/13047090-onyx
The Ballad of Songbirds and Snakes,Suzanne Collins,"Ambition will fuel him.

Competition will drive him.

But power has its price.

It is the morning of the reaping that will kick off the tenth annual Hunger Games. In the Capitol, eighteen-year-old Coriolanus Snow is preparing for his one shot at glory as a mentor in the Games. The once-mighty house of Snow has fallen on hard times, its fate hanging on the slender chance that Coriolanus will be able to outcharm, outwit, and outmaneuver his fellow students to mentor the winning tribute.

The odds are against him. He's been given the humiliating assignment of mentoring the female tribute from District 12, the lowest of the low. Their fates are now completely intertwined -- every choice Coriolanus makes could lead to favor or failure, triumph or ruin. Inside the arena, it will be a fight to the death. Outside the arena, Coriolanus starts to feel for his doomed tribute... and must weigh his need to follow the rules against his desire to survive no matter what it takes.
Show more",3.99,"['Dystopia', 'Young Adult', 'Fantasy', 'Fiction', 'Audiobook', 'Science Fiction', 'Romance']","['to-read', 'currently-reading', '2023', 'dystopian', 'young-adult', '2020', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1593892032i/51901147.jpg,https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes
The Story of Edgar Sawtelle,David Wroblewski,"Born mute, speaking only in sign, Edgar Sawtelle leads an idyllic life with his parents on their farm in remote northern Wisconsin. For generations, the Sawtelles have raised and trained a fictional breed of dog whose thoughtful companionship is epitomized by Almondine, Edgar's lifelong friend and ally. But with the unexpected return of Claude, Edgar's paternal uncle, turmoil consumes the Sawtelles' once peaceful home. When Edgar's father dies suddenly, Claude insinuates himself into the life of the farm—and into Edgar's mother's affections.

Grief-stricken and bewildered, Edgar tries to prove Claude played a role in his father's death, but his plan backfires—spectacularly. Forced to flee into the vast wilderness lying beyond the farm, Edgar comes of age in the wild, fighting for his survival and that of the three yearling dogs who follow him. But his need to face his father's murderer and his devotion to the Sawtelle dogs turn Edgar ever homeward.

David Wroblewski is a master storyteller, and his breathtaking scenes—the elemental north woods, the sweep of seasons, an iconic American barn, a fateful vision rendered in the falling rain—create a riveting family saga, a brilliant exploration of the limits of language, and a compulsively readable modern classic.
Show more",3.66,"['Fiction', 'Book Club', 'Animals', 'Dogs', 'Coming Of Age', 'Adult Fiction', 'Literary Fiction']","['to-read', 'currently-reading', 'fiction', 'favorites', 'book-club', 'own', 'books-i-own']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1310466361i/2731276.jpg,https://www.goodreads.com/book/show/2731276-the-story-of-edgar-sawtelle
Christy,Catherine Marshall,"The train taking nineteen-year-old teacher Christy Huddleston from her home in Asheville, North Carolina, might as well be transporting her to another world. The Smoky Mountain community of Cutter Gap feels suspended in time, trapped by poverty, superstitions, and century-old traditions.

But as Christy struggles to find acceptance in her new home, some see her — and her one-room school — as a threat to their way of life. Her faith is challenged and her heart is torn between two strong men with conflicting views about how to care for the families of the Cove.

Yearning to make a difference, will Christy’s determination and devotion be enough?
Show more",4.25,"['Historical Fiction', 'Fiction', 'Classics', 'Christian Fiction', 'Christian', 'Romance', 'Historical']","['to-read', 'currently-reading', 'historical-fiction', 'fiction', 'favorites', 'classics', 'christian-fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507060335i/35879889.jpg,https://www.goodreads.com/book/show/35879889-christy
Eclipse,Stephenie Meyer,"""BELLA?""
Edward's soft voice came from behind me. I turned to see him spring lightly up the porch steps, his hair windblown from running. He pulled me into his arms at once, just like he had in the parking lot, and kissed me again.
This kiss frightened me. There was too much tension, too strong an edge to the way his lips crushed mine - like he was afraid we had only so much time left to us.

As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob - knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella has one more decision to make: life or death. But which is which?

READERS CAPTIVATED BY AND will eagerly devour , the much-anticipated third book in Stephenie Meyer's riveting vampire love saga.
Show more",3.74,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']","['fantasy', 'currently-reading', 'young-adult', 'romance', 'to-read', 'favorites', 'vampires']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361038355i/428263.jpg,https://www.goodreads.com/book/show/428263.Eclipse
Under the Whispering Door,T.J. Klune,"Welcome to Charon's Crossing.
The tea is hot, the scones are fresh, and the dead are just passing through.

When a reaper comes to collect Wallace from his own funeral, Wallace begins to suspect he might be dead.

And when Hugo, the owner of a peculiar tea shop, promises to help him cross over, Wallace decides he’s definitely dead.

But even in death he’s not ready to abandon the life he barely lived, so when Wallace is given one week to cross over, he sets about living a lifetime in seven days.

Hilarious, haunting, and kind, is an uplifting story about a life spent at the office and a death spent building a home.
Show more",4.12,"['Fantasy', 'Fiction', 'Romance', 'LGBT', 'Audiobook', 'Queer', 'Book Club']","['to-read', 'currently-reading', 'fantasy', 'favorites', '2022', 'fiction', '2023']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1652374208i/53205888.jpg,https://www.goodreads.com/book/show/53205888-under-the-whispering-door
No Longer Human,Osamu Dazai,"Osamu Dazai's No Longer Human, this leading postwar Japanese writer's second novel, tells the poignant and fascinating story of a young man who is caught between the breakup of the traditions of a northern Japanese aristocratic family and the impact of Western ideas. In consequence, he feels himself ""disqualified from being human"" (a literal translation of the Japanese title).

Donald Keene, who translated this and Dazai's first novel, The Setting Sun, has said of the author's work: ""His world … suggests Chekhov or possibly postwar France, … but there is a Japanese sensibility in the choice and presentation of the material. A Dazai novel is at once immediately intelligible in Western terms and quite unlike any Western book."" His writing is in some ways reminiscent of Rimbaud, while he himself has often been called a forerunner of Yukio Mishima.

Show more",3.96,"['Fiction', 'Japanese Literature', 'Japan', 'Literature', 'Novels', 'Literary Fiction', 'Asian Literature']","['to-read', 'currently-reading', 'fiction', 'owned', 'japanese-literature', 'japanese', 'japan']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1422638843i/194746.jpg,https://www.goodreads.com/book/show/194746.No_Longer_Human
Animal Farm / 1984,George Orwell,"This edition features George Orwell’s best-known novels—1984 and Animal Farm—with an introduction by Christopher Hitchens.

In 1984, London is a grim city where Big Brother is always watching you and the Thought Police can practically read your mind. Winston Smith joins a secret revolutionary organisation called The Brotherhood, dedicated to the destruction of the Party. Together with his beloved Julia, he hazards his life in a deadly match against the powers that be.

Animal Farm is Orwell’s classic satire of the Russian Revolution - an account of the bold struggle, initiated by the animals, that transforms Mr. Jones’s Manor Farm into Animal Farm - a wholly democratic society built on the credo that All Animals Are Created Equal. But are they? AUTHOR: George Orwell (1903-1950) was born in India and served with the Imperial Police in Burma before joining the Republican Army in the Spanish Civil War. Orwell was the author of six novels as well as numerous essays and nonfiction works.
Show more",4.30,"['Classics', 'Fiction', 'Dystopia', 'Literature', 'Science Fiction', 'Politics', 'Fantasy']","['to-read', 'currently-reading', 'classics', 'fiction', 'favorites', 'classic', 'owned']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327959366i/5472.jpg,https://www.goodreads.com/book/show/5472.Animal_Farm_1984
The Complete Persepolis,Marjane Satrapi,"Here, in one volume: Marjane Satrapi's best-selling, internationally acclaimed memoir-in-comic-strips.

Persepolis is the story of Satrapi's unforgettable childhood and coming of age within a large and loving family in Tehran during the Islamic Revolution; of the contradictions between private and public life in a country plagued by political upheaval; of her high school years in Vienna facing the trials of adolescence far from her family; of her homecoming—both sweet and terrible; and, finally, of her self-imposed exile from her beloved homeland. It is the chronicle of a girlhood and adolescence at once outrageous and familiar, a young life entwined with the history of her country yet filled with the universal trials and joys of growing up.

Edgy, searingly observant, and candid, often heartbreaking but threaded throughout with raw humor and hard-earned wisdom— is a stunning work from one of the most highly regarded, singularly talented graphic artists at work today.
Show more",4.40,"['Graphic Novels', 'Nonfiction', 'Comics', 'Memoir', 'Biography', 'History', 'Feminism']","['to-read', 'graphic-novels', 'currently-reading', 'graphic-novel', 'favorites', 'non-fiction', 'comics']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327876995i/991197.jpg,https://www.goodreads.com/book/show/991197.The_Complete_Persepolis
