title,author,description,rating,genres,shelves,image_book,url
Why You Should Be a Socialist,Nathan J. Robinson,"A primer on Democratic Socialism for those who are extremely skeptical of it.

America is witnessing the rise of a new generation of socialist activists. More young people support socialism now than at any time since the labor movement of the 1920s. The Democratic Socialists of America, a big-tent leftist organization, has just surpassed 50,000 members nationwide. In the fall of 2018, one of the most influential congressmen in the Democratic Party lost a primary to Alexandria Ocasio-Cortez, a 28-year-old socialist who had never held office before. But what does all this mean? Should we be worried about our country, or should we join the march toward our bright socialist future? In , Nathan J. Robinson will give readers a primer on twenty-first-century socialism: what it is, what it isn’t, and why everyone should want to be a part of this exciting new chapter of American politics.

From the heyday of Occupy Wall Street through Bernie Sanders’ 2016 presidential campaign and beyond, young progressives have been increasingly drawn to socialist ideas. However, the movement’s goals need to be defined more sharply before it can effect real change on a national scale. Likewise, liberals and conservatives will benefit from a deeper understanding of the true nature of this ideology, whether they agree with it or not. Robinson’s charming, accessible, and well-argued book will convince even the most skeptical readers of the merits of socialist thought.
Show more",3.87,"['Politics', 'Nonfiction', 'History', 'Economics', 'Philosophy', 'Audiobook', 'Education']","['to-read', 'currently-reading', 'politics', 'non-fiction', 'nonfiction', 'socialism', 'history']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1569296452i/43263381.jpg,https://www.goodreads.com/book/show/43263381-why-you-should-be-a-socialist
Reckless,S.C. Stephens,"Can love survive when life gets Reckless?

When the band hits it big, Kiera and Kellan must ask themselves: Can their love for each other survive the constant pressures of superstardom? The friendships they've formed, the new family they've found, and the history they've forged will all play a part in helping them navigate the turbulent waters of the band's exploding popularity. A greedy executive hell-bent on success, a declining pop star looking for an edge, and a media circus that twists lies into truths are just some of the obstacles the lovers will have to overcome if they are going to remain together. Fame comes with a price-but will it cost Kiera and Kellan everything?
Show more",4.40,"['Romance', 'New Adult', 'Contemporary Romance', 'Contemporary', 'Music', 'Adult', 'Erotica']","['to-read', 'favorites', 'currently-reading', 'romance', 'new-adult', '2013', 'series']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356986017i/13600318.jpg,https://www.goodreads.com/book/show/13600318-reckless
A House in the Sky,Amanda Lindhout,"The dramatic and redemptive memoir of a woman whose curiosity led her to the world’s most beautiful and remote places, its most imperiled and perilous countries, and then into fifteen months of harrowing captivity—an exquisitely written story of courage, resilience, and grace.

As a child, Amanda Lindhout escaped a violent household by paging through issues of National Geographic and imagining herself in its exotic locales. At the age of nineteen, working as a cocktail waitress in Calgary, Alberta, she began saving her tips so she could travel the globe. Aspiring to understand the world and live a significant life, she backpacked through Latin America, Laos, Bangladesh, and India, and emboldened by each adventure, went on to Sudan, Syria, and Pakistan. In war-ridden Afghanistan and Iraq she carved out a fledgling career as a television reporter. And then, in August 2008, she traveled to Somalia—“the most dangerous place on earth.” On her fourth day, she was abducted by a group of masked men along a dusty road.

Held hostage for 460 days, Amanda converts to Islam as a survival tactic, receives “wife lessons” from one of her captors, and risks a daring escape. Moved between a series of abandoned houses in the desert, she survives on memory—every lush detail of the world she experienced in her life before captivity—and on strategy, fortitude, and hope. When she is most desperate, she visits a house in the sky, high above the woman kept in chains, in the dark, being tortured.

Vivid and suspenseful, as artfully written as the finest novel, is the searingly intimate story of an intrepid young woman and her search for compassion in the face of unimaginable adversity.
Show more",4.27,"['Nonfiction', 'Memoir', 'Book Club', 'Biography', 'Travel', 'Africa', 'Audiobook']","['to-read', 'currently-reading', 'non-fiction', 'memoir', 'book-club', 'favorites', 'nonfiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1370379455i/18039963.jpg,https://www.goodreads.com/book/show/18039963-a-house-in-the-sky
The Ersatz Elevator,Lemony Snicket,"Dear Reader,
If you have just picked up this book, then it is not too late to put it back down. Like the previous books in A SERIES OF UNFORTUNATE EVENTS, there is nothing to be found in these pages but misery, despair, and discomfort, and you still have time to choose something else to read.
Within the chapters of this story, Violet, Klaus and Sunny Baudelaire encounter a darkened staircase, a red herring, some friends in a dire situation, three mysterious initials, a liar with an evil scheme, a secret passageway, and parsley soda.
I have sworn to write down these tales of the Baudelaire orphans so the general public will know each terrible thing that has happened to them, but if you decide to read something else instead, you will save yourself from a heapful of horror and woe.
Show more",4.06,"['Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Fantasy', 'Mystery', 'Adventure']","['to-read', 'currently-reading', 'fiction', 'young-adult', 'owned', 'childrens', 'middle-grade']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1514267383i/172327.jpg,https://www.goodreads.com/book/show/172327.The_Ersatz_Elevator
Legend,David Gemmell,"He is DRUSS the Legend. His skill in battle has earned him a fearsome reputation throughout the world and the stories of his life are told everywhere. But the grizzled veteran has spurned a life of fame and fortune and has retreated to the solitude of his mountain lair to await his old enemy, Death.

Meanwhile, barbarian hordes of the Nadir are on the march, conquering all before them. All that stands before them and victory is the legendary six-walled fortress of the Drenai empire, Dros Delnoch. If the fortress falls, so do the Drenai. Druss reluctantly agrees to come out of retirement. But can even Druss live up to his own legends?

Held by many to be Gemmell's most iconic work, the book is considered a classic in the heroic fantasy genre.
Show more",4.26,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Heroic Fantasy', 'Adventure', 'Sword and Sorcery']","['to-read', 'fantasy', 'currently-reading', 'fiction', 'favorites', 'owned', 'epic-fantasy']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388201276i/618177.jpg,https://www.goodreads.com/book/show/618177.Legend
Leviathan Wakes,James S.A. Corey,"Humanity has colonized the solar system—Mars, the Moon, the Asteroid Belt and beyond—but the stars are still out of our reach.

Jim Holden is XO of an ice miner making runs from the rings of Saturn to the mining stations of the Belt. When he and his crew stumble upon a derelict ship, the Scopuli, they find themselves in possession of a secret they never wanted. A secret that someone is willing to kill for—and kill on a scale unfathomable to Jim and his crew. War is brewing in the system unless he can find out who left the ship and why.

Detective Miller is looking for a girl. One girl in a system of billions, but her parents have money and money talks. When the trail leads him to the and rebel sympathizer Holden, he realizes that this girl may be the key to everything.

Holden and Miller must thread the needle between the Earth government, the Outer Planet revolutionaries, and secretive corporations—and the odds are against them. But out in the Belt, the rules are different, and one small ship can change the fate of the universe.
Show more",4.31,"['Science Fiction', 'Fiction', 'Audiobook', 'Fantasy', 'Space', 'Science Fiction Fantasy', 'Mystery']","['to-read', 'currently-reading', 'sci-fi', 'science-fiction', 'fiction', 'favorites', 'scifi']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411013134i/8855321.jpg,https://www.goodreads.com/book/show/8855321-leviathan-wakes
Lucifer's Hammer,Larry Niven,"THE LUCKY ONES WENT FIRST…

The gigantic comet has slammed into Earth, forging earthquakes a thousand times too powerful to measure on the Richter scale, tidal waves thousands of feet high. Cities were turned into oceans; oceans turned into steam. It was the beginning of a new Ice Age and the end of civilization

But for the terrified men and women chance had saved, it was also the dawn of a new struggle for survival—a struggle more dangerous and challenging than any they had ever known….
Show more",4.00,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Apocalyptic', 'Audiobook', 'Science Fiction Fantasy', 'Dystopia']","['to-read', 'currently-reading', 'science-fiction', 'sci-fi', 'fiction', 'post-apocalyptic', 'scifi']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388268115i/218467.jpg,https://www.goodreads.com/book/show/218467.Lucifer_s_Hammer
Quicksilver,Neal Stephenson,"Quicksilver is the story of Daniel Waterhouse, fearless thinker and conflicted Puritan, pursuing knowledge in the company of the greatest minds of Baroque-era Europe, in a chaotic world where reason wars with the bloody ambitions of the mighty, and where catastrophe, natural or otherwise, can alter the political landscape overnight.

It is a chronicle of the breathtaking exploits of ""Half-Cocked Jack"" Shaftoe--London street urchin turned swashbuckling adventurer and legendary King of the Vagabonds--risking life and limb for fortune and love while slowly maddening from the pox.

And it is the tale of Eliza, rescued by Jack from a Turkish harem to become spy, confidante, and pawn of royals in order to reinvent Europe through the newborn power of finance.

A gloriously rich, entertaining, and endlessly inventive novel that brings a remarkable age and its momentous events to vivid life, is an extraordinary achievement from one of the most original and important literary talents of our time.

And it's just the beginning...

(back cover)

This P.S. edition includes 16 pages of supplementary materials.

Cover design by Richard L. Aquan
Cover illustration from the Mary Evans Picture Library; painting of Great Fire of London on stepback
Show more",3.93,"['Fiction', 'Historical Fiction', 'Science Fiction', 'Fantasy', 'Historical', 'Audiobook', 'Science Fiction Fantasy']","['to-read', 'currently-reading', 'fiction', 'historical-fiction', 'science-fiction', 'fantasy', 'owned']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377095669i/823.jpg,https://www.goodreads.com/book/show/823.Quicksilver
Shadow's Edge,Brent Weeks,"The second novel in the Night Angel trilogy, the breakneck epic fantasy from New York Times bestselling author Brent Weeks.

Kylar Stern has rejected the assassin's life. The Godking's successful coup has left Kylar's master, Durzo, and his best friend, Logan, dead. He is starting over: new city, new friends, and new profession.

But when he learns that Logan might actually be alive and in hiding, Kylar is faced with an agonizing choice: will he give up the way of shadows forever and live in peace with his new family, or will he risk everything by taking on the ultimate hit?

Devour this blockbuster tale of assassination and magic by Brent Weeks, which has delighted readers all over the world--with over one million copies in print!
Show more",4.25,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Audiobook', 'Adventure']","['to-read', 'fantasy', 'currently-reading', 'favorites', 'owned', 'own', 'fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1672601132i/3754016.jpg,https://www.goodreads.com/book/show/3754016-shadow-s-edge
Daughters of the Dragon,William Andrews,"When twenty-year-old Anna Carlson travels from America to a Korean orphanage to locate her birth mother, she’s devastated to learn the woman is already dead. But just when it seems her search is over, a stranger hands her a parcel containing an antique comb—and an address.

That scrap of paper leads Anna to the Seoul apartment of the poor yet elegant Hong Jae-hee. Jae-hee recounts an epic tale that begins with the Japanese occupation of Korea and China during World War II, when more than two hundred thousand Korean women were forced to serve the soldiers as “comfort women.” Jae-hee knows the story well—she was one of them.

As Jae-hee’s narrative unfolds, Anna discovers that the precious tortoiseshell comb, with its two-headed ivory dragon, has survived against all odds through generations of her family’s women. And as its origins become clearer, Anna realizes that along with the comb, she inherits a legacy—of resilience and courage, love and redemption—beyond her wildest imagination.

Show more",4.47,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Asia', 'War', 'Asian Literature']","['to-read', 'currently-reading', 'historical-fiction', 'kindle', 'fiction', 'historical', 'favorites']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1459629898i/29763245.jpg,https://www.goodreads.com/book/show/29763245-daughters-of-the-dragon
